"","s1"
"(Intercept)",8763.71917485796
"cdstress_bo",16.4134431334532
"cdstress_fl",-96.3859114054198
"htstress_fl",-137.73076675175
"tmmx_bo",312.867752751362
"tmmn_bo",841.990121612783
"tmean_bo",-12.0130710434549
"tmmx_fl",1757.21389346573
"tmmn_fl",956.075740508548
"tmean_fl",803.252211045541
"tmmn_gf",1758.48039744753
"tmmx_gf",1979.2698796441
"tmean_gf",147.788874258028
"tmmn",-2770.11343249371
"tmmx",4183.01772908997
"tmean",-99.7997561558832
"cdstress_bo_sq",-104.739928207226
"cdstress_fl_sq",103.834468687543
"htstress_fl_sq",129.28769179948
"tmmx_bo_sq",671.559847293745
"tmmn_bo_sq",-42.5625745503191
"tmean_bo_sq",-1753.04022564185
"tmmx_fl_sq",-2428.14079613627
"tmmn_fl_sq",-1467.47937334837
"tmean_fl_sq",160.47412033713
"tmmn_gf_sq",-1853.02975526887
"tmmx_gf_sq",-2071.1000116993
"tmean_gf_sq",43.4391103931203
"tmmn_sq",566.801156963838
"tmmx_sq",-6557.39337957366
"tmean_sq",4223.89763120386
"county_Butte",-63.2441328623278
"county_Colusa",-14.9415091917621
"county_Glenn",-2.50042515061005
"county_Placer",31.7195800382611
"county_Sacramento",5.4880322877726
"county_San Joaquin",-118.405068495195
"county_Sutter",114.157480356123
"county_Yolo",-50.9567398085597
"county_Yuba",202.546900417787
"trend_Butte",519.388755860726
"trend_Colusa",411.222173726765
"trend_Glenn",456.778355751749
"trend_Placer",187.490905480247
"trend_Sacramento",268.869205630284
"trend_San Joaquin",301.111601460707
"trend_Sutter",263.17940498433
"trend_Yolo",285.508518035114
"trend_Yuba",180.717541901355
