"Feature","Coefficient"
"cdstress_bo",5.86799925469514
"cdstress_fl",-383.276483379792
"htstress_fl",-19.5164038212335
"tmmx_bo",158.532563606634
"tmmn_bo",561.359501157064
"tmean_bo",-7.41997906552473
"tmmx_fl",794.555390489896
"tmmn_fl",491.996176672685
"tmean_fl",404.096800690762
"tmmn_gf",1412.83597092736
"tmmx_gf",1441.14709103337
"tmean_gf",123.42536144273
"tmmn",-3501.2553454579
"tmmx",4129.75117474468
"tmean",-125.897259182929
"cdstress_bo_sq",-2.98498937314552
"cdstress_fl_sq",260.288167804052
"htstress_fl_sq",0.556294012006877
"tmmx_bo_sq",4.95816392135249
"tmmn_bo_sq",-0.889605019540028
"tmean_bo_sq",-21.5029125660686
"tmmx_fl_sq",-15.4403531884169
"tmmn_fl_sq",-22.6747195917725
"tmean_fl_sq",1.54637535762025
"tmmn_gf_sq",-47.7811650155576
"tmmx_gf_sq",-21.7151291641487
"tmean_gf_sq",0.723461806228687
"tmmn_sq",24.8033870979316
"tmmx_sq",-100.265342822817
"tmean_sq",114.197698012631
"county_Butte",-195.680966288772
"county_Colusa",-45.0117589295393
"county_Glenn",-7.48471638023037
"county_Placer",101.389433430836
"county_Sacramento",20.0557890942886
"county_San Joaquin",-392.196295515978
"county_Sutter",342.80307094423
"county_Yolo",-173.95258103509
"county_Yuba",637.903879044511
"trend_Butte",63.2973663836851
"trend_Colusa",45.8138078939836
"trend_Glenn",50.8722803982606
"trend_Placer",23.9802168209014
"trend_Sacramento",49.2601531385959
"trend_San Joaquin",39.7711127245694
"trend_Sutter",29.3099536658875
"trend_Yolo",42.9193197550402
"trend_Yuba",20.9567557167861
